This list contains all games supported by FinalBurn Neo.

6907 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| flagrall	|  	| '96 Flag Rally					| 		| 1996	| unknown	| Miscellaneous	| 					| 11_u34.bin| src/burn/drv/pst90s/d_1945kiii.cpp|
| 99lstwarb	|  	| '99: The Last War (bootleg)				| repulse	| 1985	| bootleg	| Miscellaneous	| 					| 15.2764| src/burn/drv/pre90s/d_kyugo.cpp|
| 99lstwark	|  	| '99: The Last War (Kyugo)				| repulse	| 1985	| Crux / Kyugo	| Miscellaneous	| 					| 88.4f| src/burn/drv/pre90s/d_kyugo.cpp|
| 99lstwar	|  	| '99: The Last War (set 1)				| repulse	| 1985	| Crux / Proma	| Miscellaneous	| 					| 1999.4f| src/burn/drv/pre90s/d_kyugo.cpp|
| 99lstwara	|  	| '99: The Last War (set 2)				| repulse	| 1985	| Crux / Proma	| Miscellaneous	| 					| 4f.bin| src/burn/drv/pre90s/d_kyugo.cpp|
| 10yard85	|  	| 10-Yard Fight '85 (US, Taito license)			| 10yard	| 1985	| Irem (Taito li| M58		| 					| yf-a-3p-h.3p| src/burn/drv/irem/d_m58.cpp|
| 10yardj	|  	| 10-Yard Fight (Japan)					| 10yard	| 1983	| Irem		| M58		| 					| yf-a.3p| src/burn/drv/irem/d_m58.cpp|
| 10yard	|  	| 10-Yard Fight (World, set 1)				| 		| 1983	| Irem		| M58		| 					| yf-a-3p-b| src/burn/drv/irem/d_m58.cpp|
| gtmro		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/10)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					| u514.bin| src/burn/drv/pst90s/d_kaneko16.cpp|
| gtmrb		|  	| 1000 Miglia: Great 1000 Miles Rally (94/05/26)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					| mmp0x1.u514| src/burn/drv/pst90s/d_kaneko16.cpp|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					| mmp0x2.u514.bin| src/burn/drv/pst90s/d_kaneko16.cpp|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)	| 		| 1994	| Kaneko	| Kaneko16	| 					| u2.bin| src/burn/drv/pst90s/d_kaneko16.cpp|
| cprogolf18	|  	| 18 Challenge Pro Golf (DECO Cassette) (Japan)		| cprogolf	| 1982	| Data East Corp| Cassette Syste| 					| de-0061-a-0.rom| src/burn/drv/dataeast/d_decocass.cpp|
| progolf	|  	| 18 Holes Pro Golf (set 1)				| 		| 1981	| Data East Corp| Miscellaneous	| 					| g4-m.2a| src/burn/drv/dataeast/d_progolf.cpp|
| progolfa	| D NW	| 18 Holes Pro Golf (set 2)				| progolf	| 1981	| Data East Corp| Miscellaneous	| 					| g4-m.a3| src/burn/drv/dataeast/d_progolf.cpp|
| 1941u		|  	| 1941 - Counter Attack (900227 USA)			| 1941		| 1990	| Capcom	| CPS1		| 					| 41u_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| 1941		|  	| 1941 - Counter Attack (900227 World)			| 		| 1990	| Capcom	| CPS1		| 					| 41em_30.11f| src/burn/drv/capcom/d_cps1.cpp|
