This list contains all games supported by FinalBurn Neo.

724 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1941u		|  	| 1941 - Counter Attack (900227 USA)			| 1941		| 1990	| Capcom	| CPS1		| 					| 41u_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| 1941		|  	| 1941 - Counter Attack (900227 World)			| 		| 1990	| Capcom	| CPS1		| 					| 41em_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| 1941j		|  	| 1941 - Counter Attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| 					| 41_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| 1941r1	|  	| 1941 - Counter Attack (World)				| 1941		| 1990	| Capcom	| CPS1		| 					| 41e_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| 1944		|  	| 1944 - the loop master (000620 Euro)			| 		| 2000	| Eighting / Rai| CPS2		| 					| nffe.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Eighting / Rai| CPS2		| 					| nffj.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					| nffud.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944ad	|  	| 1944 - the loop master (000620 USA Phoenix Edition, alt)| 1944		| 2000	| bootleg	| CPS2		| 					| nffuad.03| src/burn/drv/capcom/d_cps2.cpp|
| 1944u		|  	| 1944 - the loop master (000620 USA)			| 1944		| 2000	| Eighting / Rai| CPS2		| 					| nffu.03| src/burn/drv/capcom/d_cps2.cpp|
| 19xxar1	|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xa.03| src/burn/drv/capcom/d_cps2.cpp|
| 19xxjr2	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					| 19xj.03| src/burn/drv/capcom/d_cps2.cpp|
