This list contains all games supported by FinalBurn Neo.

389 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| ajax		|  	| Ajax							| 		| 1987	| Konami	| GX770		| 					| 770_m01.n11| src/burn/drv/konami/d_ajax.cpp|
| ajaxj		|  	| Ajax (Japan)						| ajax		| 1987	| Konami	| GX770		| 					| 770_l01.n11| src/burn/drv/konami/d_ajax.cpp|
| akumajoun	|  	| Akuma-Jou Dracula (Japan ver. N)			| hcastle	| 1988	| Konami	| GX768		| 					| 768n03.k12| src/burn/drv/konami/d_hcastle.cpp|
| akumajou	|  	| Akuma-Jou Dracula (Japan ver. P)			| hcastle	| 1988	| Konami	| GX768		| 					| 768p03.k12| src/burn/drv/konami/d_hcastle.cpp|
| aliensa	|  	| Aliens (Asia)						| aliens	| 1990	| Konami	| GX875		| 					| 875_r02.e24| src/burn/drv/konami/d_aliens.cpp|
| aliensj	|  	| Aliens (Japan set 1)					| aliens	| 1990	| Konami	| GX875		| 					| 875_m02.e24| src/burn/drv/konami/d_aliens.cpp|
| aliensj2	|  	| Aliens (Japan set 2)					| aliens	| 1990	| Konami	| GX875		| 					| 875_j2_2.e24| src/burn/drv/konami/d_aliens.cpp|
| aliensu	|  	| Aliens (US set 1)					| aliens	| 1990	| Konami	| GX875		| 					| 875_n02.e24| src/burn/drv/konami/d_aliens.cpp|
| aliensu2	|  	| Aliens (US set 2)					| aliens	| 1990	| Konami	| GX875		| 					| 875_h02.e24| src/burn/drv/konami/d_aliens.cpp|
| aliens	|  	| Aliens (World set 1)					| 		| 1990	| Konami	| GX875		| 					| 875_j02.e24| src/burn/drv/konami/d_aliens.cpp|
| aliens2	|  	| Aliens (World set 2)					| aliens	| 1990	| Konami	| GX875		| 					| 875_p02.e24| src/burn/drv/konami/d_aliens.cpp|
| aliens3	|  	| Aliens (World set 3)					| aliens	| 1990	| Konami	| GX875		| 					| 875_w3_2.e24| src/burn/drv/konami/d_aliens.cpp|
| asterixaad	|  	| Asterix (ver AAD)					| asterix	| 1992	| Konami	| GX068		| 					| 068_aa_d01.8c| src/burn/drv/konami/d_asterix.cpp|
| asterixeaa	|  	| Asterix (ver EAA)					| asterix	| 1992	| Konami	| GX068		| 					| 068_ea_a01.8c| src/burn/drv/konami/d_asterix.cpp|
| asterixeac	|  	| Asterix (ver EAC)					| asterix	| 1992	| Konami	| GX068		| 					| 068_ea_c01.8c| src/burn/drv/konami/d_asterix.cpp|
| asterix	|  	| Asterix (ver EAD)					| 		| 1992	| Konami	| GX068		| 					| 068_ea_d01.8c| src/burn/drv/konami/d_asterix.cpp|
| asterixj	|  	| Asterix (ver JAD)					| asterix	| 1992	| Konami	| GX068		| 					| 068_ja_d01.8c| src/burn/drv/konami/d_asterix.cpp|
| atlantol	|   NW	| Atlant Olimpic					| trackfld	| 1996	| bootleg	| Miscellaneous	| 					| atl37| src/burn/drv/konami/d_trackfld.cpp|
| battlntsj	|  	| Battlantis (Japan, program code E)			| battlnts	| 1987	| Konami	| GX777		| 					| 777_e02.7e| src/burn/drv/konami/d_battlnts.cpp|
| battlntsa	|  	| Battlantis (program code F)				| battlnts	| 1987	| Konami	| GX777		| 					| 777_f02.7e| src/burn/drv/konami/d_battlnts.cpp|
| battlnts	|  	| Battlantis (program code G)				| 		| 1987	| Konami	| GX777		| 					| 777_g02.7e| src/burn/drv/konami/d_battlnts.cpp|
| blswhstla	|  	| Bells & Whistles (Asia, version M)			| blswhstl	| 1991	| Konami	| GX060		| 					| 060_m02.e09| src/burn/drv/konami/d_tmnt.cpp|
| blswhstl	|  	| Bells & Whistles (World, version L)			| 		| 1991	| Konami	| GX060		| 					| 060_l02.e09| src/burn/drv/konami/d_tmnt.cpp|
| bikkuric	|  	| Bikkuri Card (Japan)					| 		| 1987	| Peni Soft	| Miscellaneous	| 					| 1.a16| src/burn/drv/konami/d_timeplt.cpp|
| bishi		|  	| Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players)| 	| 1996	| Konami	| Miscellaneous	| Imperfect gfx (one gfx rom bad, bad pr| 575jaa05.12e| src/burn/drv/konami/d_bishi.cpp|
| blkpnthr	|  	| Black Panther						| 		| 1987	| Konami	| GX604		| 					| 604-f02.18b| src/burn/drv/konami/d_nemesis.cpp|
| bladestle	|  	| Blades of Steel (version E, Trackball)		| bladestl	| 1987	| Konami	| GX797		| 					| 797-e01.19c| src/burn/drv/konami/d_bladestl.cpp|
| bladestll	|  	| Blades of Steel (version L, Trackball)		| bladestl	| 1987	| Konami	| GX797		| 					| 797-l01.19c| src/burn/drv/konami/d_bladestl.cpp|
| bladestl	|  	| Blades of Steel (version T, Joystick)			| 		| 1987	| Konami	| GX797		| 					| 797-t01.19c| src/burn/drv/konami/d_bladestl.cpp|
| blockhl	|  	| Block Hole						| 		| 1989	| Konami	| GX973		| 					| 973l02.e21| src/burn/drv/konami/d_blockhl.cpp|
| bottom9n	|  	| Bottom of the Ninth (ver. N)				| bottom9	| 1989	| Konami	| GX891		| 					| 891n03.k17| src/burn/drv/konami/d_bottom9.cpp|
| bottom9	|  	| Bottom of the Ninth (ver. T)				| 		| 1989	| Konami	| GX891		| 					| 891n03.k17| src/burn/drv/konami/d_bottom9.cpp|
| bubsys	|   NW	| Bubble System BIOS					| 		| 1985	| Konami	| Bios Only	| 					| boot.bin| src/burn/drv/konami/d_nemesis.cpp|
| buckyaa	|  	| Bucky O'Hare (ver AA)					| bucky		| 1992	| Konami	| GX173		| 					| 173aa01.q4| src/burn/drv/konami/d_moo.cpp|
| buckyaab	|  	| Bucky O'Hare (ver AAB)				| bucky		| 1992	| Konami	| GX173		| 					| 173aab01.q5| src/burn/drv/konami/d_moo.cpp|
| buckyea	|  	| Bucky O'Hare (ver EA)					| bucky		| 1992	| Konami	| GX173		| 					| 2.d5| src/burn/drv/konami/d_moo.cpp|
| bucky		|  	| Bucky O'Hare (ver EAB)				| 		| 1992	| Konami	| GX173		| 					| 173eab01.q5| src/burn/drv/konami/d_moo.cpp|
| buckyjaa	|  	| Bucky O'Hare (ver JAA)				| bucky		| 1992	| Konami	| GX173		| 					| 173jaa01.05| src/burn/drv/konami/d_moo.cpp|
| buckyuab	|  	| Bucky O'Hare (ver UAB)				| bucky		| 1992	| Konami	| GX173		| 					| 173uab01.q5| src/burn/drv/konami/d_moo.cpp|
| cashquiz	|  	| Cash Quiz (Type B, Version 5)				| 		| 1986	| Zilec-Zenitone| Miscellaneous	| Missing graphics due to undumped ROM!	| cashqcv5.ic3| src/burn/drv/konami/d_pingpong.cpp|
| chkun		|  	| Chance Kun (Japan)					| 		| 1988	| Peni Soft	| Miscellaneous	| 					| n1.16a| src/burn/drv/konami/d_timeplt.cpp|
| chqflag	|  	| Chequered Flag					| 		| 1988	| Konami	| Miscellaneous	| 					| 717e10| src/burn/drv/konami/d_chqflag.cpp|
| chqflagj	|  	| Chequered Flag (Japan)				| chqflag	| 1988	| Konami	| Miscellaneous	| 					| 717e10| src/burn/drv/konami/d_chqflag.cpp|
| circuscc	|  	| Circus Charlie (Centuri)				| circusc	| 1984	| Konami (Centur| GX380		| 					| 380_u05.3h| src/burn/drv/konami/d_circusc.cpp|
| circusce	|  	| Circus Charlie (Centuri, earlier)			| circusc	| 1984	| Konami (Centur| GX380		| 					| 380_p05.3h| src/burn/drv/konami/d_circusc.cpp|
| circusc	|  	| Circus Charlie (level select, set 1)			| 		| 1984	| Konami	| GX380		| 					| 380_s05.3h| src/burn/drv/konami/d_circusc.cpp|
| circusc2	|  	| Circus Charlie (level select, set 2)			| circusc	| 1984	| Konami	| GX380		| 					| 380_w05.3h| src/burn/drv/konami/d_circusc.cpp|
| circusc3	|  	| Circus Charlie (level select, set 3)			| circusc	| 1984	| Konami	| GX380		| 					| 380_w05.3h| src/burn/drv/konami/d_circusc.cpp|
| circusc4	|  	| Circus Charlie (no level select)			| circusc	| 1984	| Konami	| GX380		| 					| 380_r05.3h| src/burn/drv/konami/d_circusc.cpp|
| citybombj	|  	| City Bomber (Japan)					| citybomb	| 1987	| Konami	| GX787		| 					| 787-h10.15k| src/burn/drv/konami/d_nemesis.cpp|
| citybomb	|  	| City Bomber (World)					| 		| 1987	| Konami	| GX787		| 					| 787-g10.15k| src/burn/drv/konami/d_nemesis.cpp|
| combatsc	|  	| Combat School (joystick)				| 		| 1988	| Konami	| GX611		| 					| 611g01.rom| src/burn/drv/konami/d_combatsc.cpp|
| contrab	|  	| Contra (bootleg)					| contra	| 1987	| bootleg	| GX633		| 					| 3.ic20| src/burn/drv/konami/d_contra.cpp|
| contrabj	|  	| Contra (Japan bootleg, set 1)				| contra	| 1987	| bootleg	| GX633		| 					| 2.2k| src/burn/drv/konami/d_contra.cpp|
| contrabj1	|  	| Contra (Japan bootleg, set 2)				| contra	| 1987	| bootleg	| GX633		| 					| 2__,contrabtj2.2k| src/burn/drv/konami/d_contra.cpp|
| contraj	|  	| Contra (Japan, set 1)					| contra	| 1987	| Konami	| GX633		| 					| 633n03.18a| src/burn/drv/konami/d_contra.cpp|
| contraj1	|  	| Contra (Japan, set 2)					| contra	| 1987	| Konami	| GX633		| 					| 633k03.18a| src/burn/drv/konami/d_contra.cpp|
